"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"5962",72.8,1758.5,1865,41.5,34,19.25,1.5,110,1686,1872,86,86,26,28.2,"Low"
"5963",99.2,1755.5,2120,136.5,100,27.65,1.5,215,77,5,86,86,24,28.2,"Low"
"5964",99.2,1795,2120,158.5,100,27.1,5,502,0,0,86,86,24,28.2,"Low"
"5965",99.2,2022,2120,155.5,100,24,8.5,838,0,0,87,87,19,28.2,"Low"
"5966",99.2,2150,2120,110,56,17.6,8.5,816,1220,1417,87,87,21,28.2,"Low"
"5967",98.8,1800,2120,150,100,26.95,5.5,544,97,117,86,86,23,28.2,"Low"
"5968",99.2,1847.5,2120,158.5,100,26.25,6.5,658,0,0,86,86,23,28.2,"Low"
"5969",99.2,1908.5,2120,156.5,100,25.3,7.5,766,0,0,86,86,25,28.2,"Low"
"5970",99.2,2078.5,2120,160.5,100,23.15,8.5,857,0,0,86,86,26,28.2,"Low"
"5971",99.2,2009.5,2120,156.5,100,24.1,8.5,835,0,0,86,86,21,28.2,"Low"
"5972",99.2,1874.5,2120,159,100,25.75,8,785,0,0,86,86,23,28.2,"Low"
"5973",98.8,1686.5,2120,160,100,28.85,6.5,677,99,122,86,86,24,28.2,"Low"
"5974",91.2,1994.5,2120,153.5,100,24.6,6.5,574,709,983,86,86,24,28.2,"Low"
"5975",99.2,2139.5,2120,109.5,60,19,0.5,109,99,120,86,86,26,28.2,"Low"
"5976",99.2,1789.5,2120,160.5,100,27.2,5,523,5,8,86,86,24,28.2,"Low"
"5977",99.2,1913.5,2120,158.5,100,25.3,9.5,939,11,22,86,86,24,28.2,"Low"
"5978",99.2,2173.5,2120,115,59,15.45,11.5,1118,14,14,86,86,24,28.2,"Low"
